Number,Caller,IT System,Short description,Assignment group,Assigned to,State,Affected CI,Priority,Incident state,Updated,Opened,Severity,Business duration,Duration
INC13743276,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Output_File has been executing for 9 minutes 20 seconds (2",Database Administrators,,New,ldn1ws003n01,3 - Moderate,New,2025-01-14 11:22:12,2025-01-14 11:22:08,3 - Low,0,0
INC13732173,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job AlwaysOn_ReportService_Start has been executing for 18 seconds (1800% of the",Database Administrators,,New,ldn1ws003n01,3 - Moderate,New,2025-01-14 10:42:45,2025-01-14 10:42:41,3 - Low,0,0
INC13726481,Spotlight Service ,BRS - EM Prod,"DBA Spotlight LDN1WS003N01,51433  SQL Agent - Long Running Jobs (Percent) : Job #ETD_HUB_Parallel_Run has been executing for 10 minutes 22 seconds (2006% of",Database Administrators,,New,ldn1ws003n01,3 - Moderate,New,2025-01-14 10:21:27,2025-01-14 10:21:22,3 - Low,0,0
INC13718104,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for njc2ws004n02  Disks - Percentage Used: Disk E: is 86.73% full. ,Database Administrators,,New,njc2ws004n02,3 - Moderate,New,2025-01-14 10:25:24,2025-01-14 09:48:36,3 - Low,0,0
INC13718103,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 5 ho",Database Administrators,,New,njc2ws024n02,3 - Moderate,New,2025-01-14 09:48:34,2025-01-14 09:48:32,3 - Low,0,0
INC13718068,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Time) : Job Sync_AG has been executing for 6 days 3 hours ",Database Administrators,,New,njc1ws024n01,3 - Moderate,New,2025-01-14 09:48:08,2025-01-14 09:48:05,3 - Low,0,0
INC13717971,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS024N01,51433  SQL Agent - Long Running Jobs (Percent) : Job Sync_AG has been executing for 6 days 3 hours (341021% of the a",Database Administrators,,New,njc1ws024n01,3 - Moderate,New,2025-01-14 09:47:52,2025-01-14 09:47:49,3 - Low,0,0
INC13717772,Spotlight Service ,DB Farm - AM Prod,DBA Spotlight notification for NJC1WS004N01  Disks - Percentage Used: Disk E: is 87.71% full. ,Database Administrators,,New,njc1ws004n01,3 - Moderate,New,2025-01-14 10:25:24,2025-01-14 09:46:40,3 - Low,0,0
INC13708359,Spotlight Service ,DB Farm - AM Prod,Spotlight notification for njc1ws014n01  Monitored Server - Windows Connection Failure: Cannot connect to Windows host 'njc1ws014n01' : The RPC server is un,Database Administrators,,New,njc1ws014n01,3 - Moderate,New,2025-01-14 08:36:18,2025-01-14 08:36:15,3 - Low,0,0
INC13701668,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job PopulateQMTradeDetail_DeNml has been executing for 31 minutes 2 s",Database Administrators,,New,njc1ws0008n01,3 - Moderate,New,2025-01-14 06:24:25,2025-01-14 06:24:21,3 - Low,0,0
INC13701567,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 05:57:09,2025-01-14 05:39:46,3 - Low,0,1043
INC13701566,Spotlight Service ,,"DBA Spotlight LDNPPVMTPDBLS1,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 05:56:58,2025-01-14 05:39:45,3 - Low,0,1033
INC13701564,Spotlight Service ,,"DBA Spotlight LDNPTRPDBLS2,51433  Availability Group - Failover Availability: Failover must be done manually ",Database Administrators,,Closed,,5 - Planning,Closed,2025-01-14 05:57:07,2025-01-14 05:37:59,3 - Low,0,1148
INC13701539,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP1: njc1lx8001.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8001,3 - Moderate,Closed,2025-01-14 05:56:58,2025-01-14 05:16:29,3 - Low,0,2430
INC13701538,AppD Service,,AppDynamics has detected a problem with DB Server [GRDNJCCP2: njc1lx8002.corp.ad.tullib.com: 51521]. [Database Availability] started violating and is now [criti,Database Administrators,,Closed,njc1lx8002,3 - Moderate,Closed,2025-01-14 05:57:10,2025-01-14 05:16:25,3 - Low,0,2445
INC13701456,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC1WS0008N01,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 33 ",Database Administrators,,Closed,njc1ws0008n01,3 - Moderate,Closed,2025-01-14 05:57:01,2025-01-14 04:34:19,3 - Low,0,4962
INC13701455,Spotlight Service ,DB Farm - AM Prod,"Spotlight notification for NJC2WS024N02,51433  SQL Agent - Long Running Jobs (Time) : Job DatabaseBackup - USER_DATABASES - FULL has been executing for 32 m",Database Administrators,,Closed,njc2ws024n02,3 - Moderate,Closed,2025-01-14 05:57:08,2025-01-14 04:33:36,3 - Low,0,5012
