Netbios Name,Patched,Engineer,Asset Name,IP Addresses,Operating System Category,OS,Operating System Version,Operating System Lifecycle Stage,Time Zone,Last System Boot,Last Logged-In User
SNGPINFDCG01,Phase 4,TBA,SNGPINFDCG01,10.202.36.31,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'+08:00,2023-01-13T10:46:11Z,CORP.AD.TULLIB.COM\CORP PMS
UK1PUINTSER01,Phase 4,TBA,UK1PUINTSER01,"fe80:0:0:0:fd24:b376:7ef1:c41f,169.254.196.31,fe80:0:0:0:24c1:2b3d:8ac9:65d8,172.23.121.72",Windows / Server,Microsoft Windows Server 2019 Standard 1809 64-Bit,1809,GA,UTC,2023-01-21T06:38:39Z,Administrator
SYD2WS6012,Phase 4,TBA,SYD2WS6012.corp.ad.tullib.com,10.241.47.25,Windows / Server,Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3532 64-Bit,1809,GA,'+08:00,2022-11-06T13:24:53Z,APACLNESA
USHSEXCASS01,#N/A,#N/A,USHSEXCASS01.us.icap.com,"169.254.46.160,10.1.31.50,10.1.31.52,169.254.95.118",Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25829,6.1,EOL/EOS,'-05:00,2023-01-14T12:16:11Z,US.ICAP.COM\exchadmin
NJ1CVRMAD01,Phase 4,TBA,NJ1CVRMAD01.lnholdings.com,"fe80:0:0:0:d079:df16:a04f:77b0,10.78.102.105",Windows / Server,Microsoft Windows Server 2016 Standard 1607 Build 14393.5427 64-Bit,1607,EOL,'-05:00,2022-11-05T17:10:44Z,LNHOLDINGS.COM\jhilaire
NJ1PREUCON01,Phase 4,TBA,nj1preucon01,"172.18.104.91,fe80:0:0:0:18c7:391c:5dea:88be,fe80:0:0:0:18a1:bedc:8305:8cfb,10.10.10.49",Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,'-05:00,2022-10-29T14:33:06Z,Administrator
VRDPVRCLOG05,#N/A,#N/A,VRDPVRCLOG05.corp.ad.tullib.com,10.101.13.20,Windows / Server,Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.25633 64-Bit,6.1,EOL/EOS,UTC,2022-11-09T07:04:05Z,administrator
NJ1PBCITXAPP02,Phase 4,TBA,nj1pbcitxapp02.LNHOLDINGS.com,172.18.121.152,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 64-Bit,6.3,EOL,'-08:00,2023-01-21T10:29:08Z,lnholdings\omf
NJCPUFIASS04,Phase 4,TBA,NJCPUFIASS04.na.cipn.com,10.144.32.20,Windows / Server,Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20478 64-Bit,6.3,EOL,'-05:00,2022-12-16T07:34:47Z,NAEBSysAdmin
LDN2WS8006,Phase 4,TBA,LDN2WS8006.corp.ad.tullib.com,10.91.72.190,Windows / Server,Microsoft Windows Server 2019 Standard 1809 Build 17763.3532 64-Bit,1809,GA,UTC,2022-11-05T04:34:57Z,Administrator
